,Venue,Venue Latitude,Venue Longitude,Venue Category
228,Maison Dandoy,50.8474,4.35158,Bakery
229,À la Bécasse,50.84837499952941,4.351419890225042,Gastropub
230,Oysters & Smørrebrød,50.8503,4.3478,Seafood Restaurant
231,Le Scheltema,50.848160612868945,4.3543651719605805,Seafood Restaurant
232,Balls & Glory,50.84770081967388,4.350339546069608,Belgian Restaurant
233,Toukoul,50.852267439086994,4.351054407895912,Ethiopian Restaurant
234,Pré de Chez nous,50.84844109832127,4.354682434197112,Restaurant
235,EXKi,50.84671208166079,4.354377592923946,Sandwich Place
236,Bombay Inn,50.8487,4.35335,Indian Restaurant
237,NONA,50.84991728952105,4.348259592595226,Pizza Place
238,Wokup Noodle,50.84858983244309,4.3533114767126895,Asian Restaurant
239,Gourmets Every Day,50.849211394130194,4.348668158054352,Chinese Restaurant
240,La Kasbah,50.8492,4.34723,Restaurant
241,Fin de Siècle,50.84884088676664,4.347177921658792,Belgian Restaurant
242,Beijingya,50.85032456418949,4.349433162754255,Chinese Restaurant
243,Restauration Roumaine,50.849775570859876,4.350960053897927,Eastern European Restaurant
244,Makisu,50.85063003277905,4.347151590756276,Sushi Restaurant
245,Charli,50.85017167096025,4.347781544068518,Bakery
246,Knees to Chin,50.85099489253758,4.346802568956957,Asian Restaurant
247,Le Pain Quotidien,50.84714788114189,4.3546320497989655,Bakery
248,La Maison des Crêpes,50.84711612799992,4.350553132126129,Creperie
249,Samourai,50.85034923440301,4.3543890849796885,Japanese Restaurant
250,ABC Poissonerie,50.850322,4.347388,Seafood Restaurant
251,Brasserie de l'Ommegang,50.84656550922511,4.352608763548891,Brasserie
252,la guinguette en ville,50.852565,4.349574,Comfort Food Restaurant
253,La Boule Rouge,50.84681731868693,4.351037894419966,Belgian Restaurant
254,El Bocadillo,50.851036077674614,4.350466520792152,Sandwich Place
255,Pampas - Rodizio,50.85111821561913,4.348974765520099,Brazilian Restaurant
256,Publico,50.84881911318624,4.34655525971963,Mediterranean Restaurant
257,Le Cirio,50.848249974069326,4.350554015331112,Gastropub
258,Le Pain Quotidien,50.84918006531707,4.3472787737846375,Bakery
259,Gramm,50.8522103240111,4.346079594926886,French Restaurant
260,La Belle Maraichère,50.85084466145241,4.348021769866575,French Restaurant
261,Chicago Café,50.85160499425515,4.346479661199551,Breakfast Spot
262,Snack Bunny,50.8543526513474,4.35781025844044,Snack Place
263,Frites Atelier,50.85005460801756,4.347838346419132,Friterie
264,A Casa Mia,50.851481204227646,4.346484362140541,Italian Restaurant
265,Les Filles,50.84914572337833,4.3456311036523765,Restaurant
266,Café Béguin,50.851636507639725,4.3506439787490505,Mediterranean Restaurant
267,La Marée,50.8528,4.34589,Seafood Restaurant
268,Viva M'Boma,50.85104723116887,4.347052323987401,Belgian Restaurant
269,Yi Chan,50.84824701162662,4.348631717062444,Vietnamese Restaurant
270,Beaucoup Fish,50.85567508184744,4.3512247565224165,Restaurant
271,Henri,50.85295915663303,4.345090896599143,Belgian Restaurant
272,Atelier des Pâtes,50.84162251410343,4.359503629511135,Italian Restaurant
273,Bifanas,50.84873922491636,4.354907617922596,Portuguese Restaurant
